Name,Ancestor,Demonym,Size Category,Min Height,Max Height,Average Build,Sexual Dimorphism,Skull Shape,Brow Structure,Facial Hair,Nose,Jaw Structure,Dentition,Defensive Growth,Ear Type,Eye Count,Eye Shape,Eye Color Range,Secondary Vision Traits,Skin Texture,Skin Thickness,Complexion,Markings,Hair Presence,Hair Texture,Hair Color Range,Secondary Covering,Arm Count,Leg Count,Limb Proportions,Hand Structure,Number of Digits,Foot Structure,Posture,Tail,Spine,Evolutionary Path,Planar Influence,Environmental Adaptation,Hybridization,Gamete Logic,Transfer Interface,Gestation Method,Vestigial Traits,Lifespan Average,Aging Markers,Youth Markers,Youth Traits,Elder Traits,Typical Grooming,Ornamentation,Status Indicators,Facial Expression Norms
Ordonants,,,Medium,"6'0""","7'2""","Tall, extremely slender, and long-limbed",None,Elongated masked or crested,Concealed by mask or crest,None,Proboscis-like or masked,Narrow and concealed,Not visible,Cranial crest and shoulder spines,None visible,,Not visible beneath facial structure,,,Smooth chitinous or ceramic,,Bone-white and dark brown,Segmented facial and body panels,Absent,,,Chitinous plates,2,2,Extremely elongated,"Long, narrow fingers",5,Plantigrade,Formal and upright,None,,,,,,,,,,Adulthood at 20 years; typical lifespan 100 to 150 years.,,,,,"Body panels, crest, and mask-like features kept geometrically immaculate","Architectural collars, ceremonial staffs, geometric panels, and office-specific regalia",,Unreadable
Orphai,Dreamscape,Orphai,Medium,"5'8""","6'8""","Tall, slender, and fluid",Low,Elongated and subtly distorted,Smooth,None,Human-like,Fluid,Human-standard,None,Long pointed,2,Deep and liquid,"Black, grey, muted violet",None,Parchment-like and shifting,Thin,"Ash-pale, faded ink, or muted violet",Painterly cracks and blurred edges,"Fine, dark, and threadlike",Variable,"Black, silver-grey, indigo, white",None,2,2,Long-limbed,Five-fingered,5,Plantigrade,Slightly out of sync,None,Flexible,,Metaphysical divergence,None,Liminal and transitional spaces,No Gametes,Energetic,No Gestation,,Adulthood at 30 years; typical lifespan 180 to 250 years.,,Fading edge definition,,Loss of cohesion,Fine hair worn loose and allowed to drift; unstable edges are rarely concealed,"Loose adaptive layers, memory tokens, faded inks, and asymmetrical transitional pieces",None,Remote and subtly distressed
Oteisha,Pykari,Oteisha,Small,"3'0""","4'0""","Small, compact, and light-footed",Low,"Broad, fine-featured humanoid",Heavy and wrinkled,Some,Small and broad,Small and rounded,,None,Very large and laterally pointed,2,Large and reflective,"Amber, black, milky green, rust-red",,Wrinkled and earthen,,"Grey-brown, mossy olive, or muted umber",Fungal speckling and vein-like discoloration,"Fine, wispy, or rootlike",,"Grey, brown, black",None,2,2,,Five-fingered,5,Plantigrade,Low and cautious,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",External Brood,,Adulthood at 25 years; typical lifespan 160 to 220 years.,,,,,"Wispy or rootlike hair tied back, trimmed, or left naturally fibrous","Small charms, medicinal bundles, lanterns, spore vessels, and layered weatherwear",,
Penduran,,Penduran,Medium,"4'8""","5'8""",Compact and smooth-bodied,Unknown,"Broad, rounded, and multi-eyed",Smooth and multi-eyed,None,Small and beak-like,Small and recessed,Not visible,None,None visible,6,"Small, glossy, clustered",Glossy black,,Smooth with fine scales,,Deep cobalt blue,Dark cranial seams,Absent,,,None,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,,,,,Adulthood at 20 years; typical lifespan 110 to 160 years.,,,,,Smooth scales cleaned and lightly polished; cranial seams left visible,"Compact collars, polished stones, symmetrical bands, and multi-eyed symbolic motifs",,Unreadable but alert
Pykari,Tyrikai,Pykari,Small,"2'8""","3'4""","Very small, compact, and agile",Low,Rounded humanoid,Soft and rounded,Some,Small and flat,Small and rounded,,None,Large sharply pointed,2,Very large almond,"Amber, copper, molten orange","Your connection to the Ashen Spiral grants you Darkvision up to 60 feet. You see the world in shades of deep red and orange, as if embers still smolder in the shadows.",Smooth and matte,,Obsidian black,Faint ember sheen,Thick and tightly curled,thick,"Black, dark brown, ember-red, copper",None,2,2,,Five-fingered,5,Plantigrade,Alert and upright,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",External Brood,,Adulthood at 15 years; typical lifespan 160 to 200 years.,,,,,Short curls worn naturally or quickly shaped for travel and heat,"Small ember charms, practical leatherwork, scavenged trinkets, and compact protective gear",,Alert and guarded
Skelbraith,Delvani,Skelbraith,Medium,"5'0""","6'0""","Compact, broad, and powerful",Low,Broad humanoid,Heavy with central third-eye ridge,Full,Broad and flattened,Broad and firm,,None,Pointed,3,Primary pair plus small forehead eye,"Red, blue, gem-bright",,"Smooth, weathered mineral skin",,"Storm blue, slate, and salt-cyan","Salt wear, scars, and a gem-like third eye",Coarse; short or tied back,,"Black, brown, auburn",None,2,2,,Five-fingered,5,Plantigrade,Braced and ready,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 16 years; typical lifespan 50 to 70 years.,,,,,"Hair kept short or tied back; the third eye is cleaned, covered, or displayed by purpose","Navigation gems, goggles, storm gear, ship tokens, and third-eye framing jewelry",Visibility and brightness of the third eye,
Teleryn,"Dunavald,Maligath Ancestor",Teleryn,Medium,"5'8""","6'10""","Broad, tall, and powerfully muscular",Low,Broad and heavy,Heavy and pronounced,Common,Broad,Broad with upward tusks,Prominent tusks,Prominent tusks,Very large and pendulous,2,Deep-set,"Amber, brown, dark red",,Smooth to weathered,,Rust-red to burnt ochre,"Travel scars, tattoos, and ritual ash","Coarse; long, braided, or locked",,"Black, dark brown, rust",None,2,2,,Five-fingered,5,Plantigrade,Low and grounded,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 16 years; typical lifespan 60 to 80 years.,,,,,"Coarse hair worn in braids, knots, shaved patterns, or practical road cuts","Clan tattoos, contract tokens, ritual ash, beast-bond charms, and travel-earned trophies",,
Thornkin,Verdant Cradle,Thornkin,Medium,"5'0""","7'0""","Tall, lean, and branch-limbed",None,Root- and branch-formed,Branch-formed ridges,Absent,Carved wood-like,Root-formed and angular,,Thorns and branches,None,2,"Recessed, luminous","Amber, green, luminous yellow",,"Bark, roots, and vines",,Pale wood to dark bark,"Growth rings, sap seams, and moss",Branch and vine growths,,"Branches, leaves, and vines","Leaves, moss, flowers, and vines",2,2,,Root- and branch-like fingers,5,Rooted plantigrade feet,Upright,None,,,,,,"Sperm-producing, Ova-producing",Dermal,External Brood,,"Adulthood at 30 years; typical lifespan 200 to 300 years, with rooted elders sometimes surviving much longer.",,,,,"Seasonal pruning, cultivation, grafting, and removal of harmful growth","Living flowers, moss, fungi, seedpods, woven vines, and cultivated seasonal displays",,
Tyrikai,Demons,Tyrikai,Small,"3'5""","4'5""","Small, lean, and wiry",Low,Sharp and slightly elongated,Sharp and arched,Sparse,Small and pointed,Narrow with visible fangs,Sharp visible fangs,Paired curled horns,Large sharply pointed,2,Wide-set and bright,"Amber, gold, violet, ember-brown",,Rough and heat-worn,,"Crimson, rust-red, or maroon",Heat scars and dark striping,"Short, wiry, and dark",,"Black, dark brown, soot-red",None,2,2,,Five-fingered,5,Plantigrade,Low and ready,"Long, thin, pointed tail",,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",External Brood,,Adulthood at 12 years; typical lifespan 70 to 100 years.,,,,,"Short wiry hair, horns, and tail kept practical for heat and sudden movement","Survival trophies, horn bands, scavenged metal, heat-resistant wraps, and clan marks",,Animated and defiant
Umbranauts,Ancient Veil Race,Umbranauts,Medium,"5'2""","6'2""",Slender beneath enclosed suits,Low,Soft humanoid,Soft and subtle,None,Small and low,Soft and narrow,,None,Human-like or concealed,2,Large and dark,Black or very dark,Darkvision 60 ft,Smooth and pale,,Low-pigment pale tones,Suit route and family markings,Absent or concealed,,,Fully enclosed pale veilsuit,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,Ova-producing,Cloacal,External Brood,,Adulthood at late teens; typical lifespan 120 to 160 years.,,,,,Bodies kept contamination-free; sealed veilsuits meticulously cleaned and maintained,"Route, family, and contract markings stitched or etched onto veilsuits",Suit markings and mastered-route symbols,
Unfaceted,Auctorion,Unfaceted,Medium,"5'0""","6'6""",Variable humanoid,Variable,Humanoid with perceptually unstable face,Indescribable,Indescribable,Indescribable,Indescribable,Indescribable,None,Human-like,Indescribable,Indescribable,,,Physically consistent; facial area distorted,,Variable,"Painterly blur, static, or missing facial features",Variable,,,None,2,2,,Five-fingered,5,Plantigrade,Deliberately composed,None,,,,,,"Ova-producing, Sperm-producing","Penetrative, Receptive canal",Metaphysical,,Adulthood at late teens; typical lifespan 120 to 150 years.,,,,,"Strong silhouettes, deliberate asymmetry, veils, hair framing, and layered collars","Perceptual anchors, bold asymmetrical pieces, masks, and recognizable personal motifs",,Cannot be reliably perceived
Vaelari,Aestari,Vaelari,Medium,"5'6""","6'2""","Tall, slender, and athletic",Low,Elongated and refined,Smooth and swept into horn base,None,Human-like and narrow,Narrow,Human-standard,Paired swept cranial horns,Long pointed,2,"Large, black or luminous","Black, violet, softly luminous",Luminescent pupils,Smooth,Thin,Lavender to deep amethyst,Faint psychic motes and facial ridges,Absent or minimal,Sleek and straight,None or minimal,None,2,2,Long-limbed,Five-fingered,5,Plantigrade,Upright,None,Graceful spinal curve,,Threshold-refined,Urban arcane centers,Rare,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at late teens; typical lifespan 90 to 120 years.,Glow dimming,,Refined facial symmetry,Surface dulling,Hairless or closely kept; horns and smooth skin surfaces carefully maintained,"Sleek dark garments, horn accents, psychic-light jewelry, and minimal geometric pieces",Horn form and psychic motes,Serene and distant
Varnhallan,Delvani;Moeder,Varnhallan,Medium,"5'6""","6'6""","Broad-shouldered, dense, and heavy",Low,Strong humanoid,Strong and heavy,Common,Broad and straight,Broad and grounded,,None,Human-like,2,Deep-set,"Steel-grey, copper, dark iron, ember-gold",Darkvision 60 ft.,Roughened and callused,,"Ash-pale, bronze, iron-brown, or forge-dark","Scars, heat exposure, and work marks","Thick, coarse, and tightly bound",coarse; thick,"Dark brown, black, rust",None,2,2,,Five-fingered,5,Plantigrade,Grounded and braced,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 20 years; typical lifespan 100 to 120 years.,,,,,"Thick hair kept short or tightly bound away from tools, stone dust, and flame","Work leathers, guild insignia, medallions, tool badges, and earned craft marks",,
Veilborn,"Ancient Veil Race,Moeder",Veilborn,Medium,"5'4""","7'0""","Tall, fragmented, and unstable",Low,Humanoid but partially dissolved,Fragmented and partially dissolved,None,Unstable or obscured,Fragmented and unstable,,Floating shard-like protrusions,None visible,2,Void-like or washed-out,"Void black, washed-out white, cyan",,Translucent and glass-like,,Pale spectral with prismatic fragments,Spectral veins and broken reflective planes,Absent,,None,Prismatic fragments and trailing veil matter,4,2,,Long fragmented fingers,5,Hovering; feet vestigial or fragmented,Hovering and misaligned,None,,,,,,Sperm-producing,"Penetrative, Receptive canal",Internal Gestation,,"Adulthood at 20 years; typical lifespan 100 to 180 years, depending on how well their bodies remain stabilized.",,,,,Unstable fragments aligned or bound where possible; little conventional grooming,"Anchoring ribbons, prismatic shards, stabilizing sigils, and objects that preserve identity",,Remote and difficult to read
Veithyn,"Moeder,Mireborn",Veythin,Medium,"5'8""","6'6""","Tall, slender, and shadow-drawn",Low,Elongated and elegant,High and shadowed,Some,Narrow and straight,Narrow and elegant,,None,Human-like,2,Abyss-dark,"Black, charcoal",,Smoke-like and soft-edged,,Charcoal to obsidian black,Visible black veins and blurred outline,Smoke-like and drifting,,Smoke-black,None,2,2,,Five-fingered,5,Plantigrade,Quiet and slightly blurred,None,,,,,,No Gametes,Energetic,No Gestation,,Adulthood at 25 years; typical lifespan 160 to 220 years.,,,,,Smoke-like hair left drifting or loosely bound without suppressing its motion,"Dark layered garments, threshold charms, subdued metals, and watch-order insignia",,Withdrawn and unreadable
Velthask,Vorthirith,Velthask,Medium,"6'5""","8'0""","Very tall, imposing, and rigid",None,Crested and angular,Armored and crest-integrated,None,Angular and integrated into carapace,Narrow and armored,,Metallic cranial crest and facial spines,None visible,2,Opaque gemstone-like,"Ruby, sapphire, onyx, amber, emerald",,Polished metallic carapace,,"Petrified gold, brass, ivory, or electrum",Natural geometric carapace seams,Absent,,,Natural metallic carapace,2,2,,Five-fingered,5,Plantigrade,Rigid and commanding,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",External Brood,,Adulthood at 40 years; typical lifespan 350 to 500 years.,,,,,"Carapace polished, crests displayed, and every visible surface maintained ceremonially","Carapace-like formalwear, crowns, gemstone regalia, and rank-defining court symbols",Cranial crest and carapace refinement,
Vessels,Humans,Vessels,Medium,"4'0""","7'0""","Lean, assembled humanoid",Low,Blank humanoid mask,Smooth or carved into mask,None,Minimal or artificial,Hinged or sculpted,Artificial or absent,None,Minimal or absent,2,"Small, artificial","Black, artificial, or absent",None,"Patched composite, ceramic, or artificial flesh",Normal,Unpainted beige and grey,"Maker marks, seams, repairs, and inscriptions",Absent,Variable,Variable,Patched construct material,2,2,Variable,Five-fingered,5,Plantigrade,Neutral and mechanical,None,Normal,,Artificial fabrication,None,Urban and controlled environments,No Gametes,"Penetrative, Receptive canal",No Gestation,,Adulthood at fully formed when awakened; typical lifespan indefinitely while their core and body can be repaired.,,Surface fatigue,,Feature blurring,Repairs maintained and often left visible as part of personal history,"Maker marks, seals, cords, embedded relics, patched materials, and chosen identity symbols",Maker marks and quality of repairs,Successful mimicry
Vexholmic,Delvani,Vexholmics,Medium,"5'0""","6'0""","Compact, dense, and heavily built",Low,Angular and reinforced,Reinforced and ridged,None or minimal,Broad and flattened,Heavy and reinforced,,Reinforced brow and cheek ridges,Ridged pointed,2,Small and predatory,"Silver, iron-blue, crimson, onyx",,Thick and resilient,,"Ash, iron-grey, scarred red, or dark bronze",Reinforced brow ridges and cranial grooves,Absent or very short,,,None,2,2,,Five-fingered,5,Plantigrade,Braced and confrontational,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 15 years; typical lifespan 60 to 80 years.,,,,,"Minimal martial grooming; nails, ridges, and equipment kept combat-ready","Rank marks, battle titles, contract badges, disciplined armor, and earned weapon tokens",,Predatory and confrontational
Vitrexin,Humans,Vitrexin,Medium,"5'0""","6'4""",Lean and human-adjacent,Medium,Human-like,"Human-like, sometimes sigil-marked",,Human-like,Human-like,,None,Human-like,2,Human-like,Human range; sometimes compound-bright,,Human-like,,Warm human tones,"Visible colored sigils, veins, and compound marks",Dark and tousled,,"Black, brown",None,2,2,,Five-fingered,5,Plantigrade,Upright,None,,,,,,No Gametes,,No Gestation,,"Adulthood at late teens; typical lifespan 80 to 140 years, with major variation caused by blood compounds and treatment.",,,,,Human-adjacent grooming adapted to protect or deliberately reveal compound markings,"Colored sigils, coded jewelry, serial markers, reclaimed names, and concealed ownership marks",Pattern and color of bodily sigils,
Vok,Dren,Vok,Medium,"5'8""","7'0""","Dense, stocky, and muscular",Low,Strong humanoid,Strong and metallic,Full,Straight and flattened,Firm and compact,,None,Human-like,2,"Narrow, glowing","Molten gold, ember-orange, coal-red, storm-blue",Darkvision 60 ft.,Smooth metallic or volcanic,,"Coal-grey, dark steel, or volcanic black",Faint seams and pulse-lines,"Short, dark, and bristled",coarse; thick,"Black, scorched wire, metallic darks",None,2,2,,Five-fingered,5,Plantigrade,Grounded and efficient,None,,,,,,"Sperm-producing, Ova-producing",Cloacal,External Brood,,Adulthood at 25 years; typical lifespan 200 to 300 years.,,,,,"Short practical grooming; vents, seams, and metallic hair kept clear of residue","Calibration marks, forge tokens, heat-safe tools, and symbols of maintained systems",Brightness of heat seams and pulse-lines,Focused and restrained
Vorraki,Dunhark,Vorraki,Medium,"6'0""","7'2""","Tall, broad, and powerfully muscular",Low,Broad and severe,Heavy and severe,Common,Broad or boar-like,Broad with visible upper canines,Elongated upper canines,Elongated upper canines,Pointed,2,Deep-set and reflective,"Dark brown, grey, stone-like","You can see in dim light within 60 feet as if it were bright light, and in darkness as if it were dim light.",Weathered,,"Olive-grey, charcoal, iron-brown, or deep bronze","Scars, campaign marks, and service tattoos","Coarse; dark, braided, or locked",coarse; thick,"Black, brown",None,2,2,,Five-fingered,5,Plantigrade,Tactical and upright,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 16 years; typical lifespan 60 to 80 years.,,,,,"Hair and facial hair worn in disciplined braids, locks, or military cuts","Campaign marks, service tattoos, battle honors, officer insignia, and oath-charter tokens",,
Weftilestes,"Weft,Moeder",Westilestes,Medium,"5'4""","6'2""",Slender and unnaturally graceful,Low,Refined humanoid,Fine and geometric,Some,Straight and refined,Narrow and symmetrical,,None,Human-like,2,Geometric or fractal,"Silver, grey, fractal black",,Opalescent and subtly tessellated,,"Ivory, silver-grey, pale lapis, or iridescent",Faint geometric grids and tessellations,"Fine, spectral, and silver-white",,"Glacial silver, mirror-white, indigo, lavender",None,2,2,,Five-fingered,5,Plantigrade,Still and precise,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,Adulthood at 40 years; typical lifespan 200 to 300 years.,,,,,Spectral hair worn loose or arranged in deliberate geometric patterns,"Geometric jewelry, scholarly robes, tesseral symbols, and carefully curated arcane tools",Complexity of visible tessellations,
Zakariss,Veil,Zakariss,Medium,"7'0""","9'0""","Towering, broad, and massively muscular",Low,Heavy and rune-scarred,Massive and rune-scarred,None,Broad and stone-like,Heavy and capable of splitting wide,"Two rows, including crystalline Veil-teeth",Crystalline secondary teeth and stone ridges,Human-like,2,Burning glyph-like,"Molten white, amber, glyph-lit",,Half-solid war-stone and scarred hide,,"Basalt black, storm-grey, or rune-lit bronze",Pulsing spiral sigils and unstable light seams,Absent,,,Rune-bound Veil matter,2,2,,Five-fingered,5,Plantigrade,Dominant and braced,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,"Adulthood at 30 years; typical lifespan 250 to 400 years, though instability and warfare kill many earlier.",,,,,"Sigils exposed, reinforced, and maintained; unstable seams bound rather than concealed","Rune-bound armor, earned conquest sigils, dominion symbols, and seized Veil cores",Earned sigils and stability of form,
Zhimeus,Aestari,Zhimeus,Medium,"5'7""","6'3""","Tall, slender, and slightly warped",Low,Long and refined,Pronounced and ridged,None,Human-like,Narrow,Human-standard,None,Long pointed,2,Deep-set and luminous,"Pale luminous, silver, spore-flecked",None,"Fungal, metallic, or mineral-stained",Normal,"Mushroom-grey, tarnished gold, or verdigris","Spore dust, fungal staining, and fine facial veins","Thin, filament-like, or mycelial",None,"Black, silver, pale fungal tones",None,2,2,Long-limbed,Five-fingered,5,Plantigrade,Relaxed and deliberate,None,Ridged musculature,,Energetic mutation,Urban nocturnal environments,None,"Sperm-producing, Ova-producing",Dermal,Internal Gestation,,Adulthood at 80 years; typical lifespan 500 to 700 years.,Skin desaturation with age,,Sharper facial planes,Loss of glow,"Filament or mycelial hair worn loose, dusted, braided, or cultivated with controlled growth","Alchemical pendants, fungal materials, reagent vessels, bonework, and craft-earned titles",Horn symmetry; posture,Clinical and patient
Zyrrkhal,Vorthirith,Zyrrkhai,Medium,"6'2""","7'0""","Very tall, rigid, and sculpted",None,"Severe, elongated, and architectural","Sharp, severe, and architectural",None,Narrow and sculpted,Long and severe,,Crown-like cranial architecture,None visible,2,Fixed glass or gemstone,"Obsidian, silver, dark gemstone",,"Smooth stone, ceramic, or dark metal",,"Cold ivory, ash-grey, basalt, or black marble",Carved geometric seams and architectural panels,Absent,,,Sculpted stone or ceramic plates,2,2,,Five-fingered,5,Plantigrade,Perfectly rigid,None,,,,,,"Sperm-producing, Ova-producing","Penetrative, Receptive canal",Internal Gestation,,"Adulthood at 50 years; typical lifespan 800 years or more, with some surviving for several millennia.",,,,,Stone or ceramic surfaces and carved seams kept immaculate and unchanged,"Architectural robes, geometric panels, office regalia, and symbols of unbroken law",Integrity and complexity of carved form,Still and severe
